iter	Passed	Remaining
0	57	17130
1	59	8856
2	61	6098
3	63	4703
4	65	3875
5	67	3328
6	69	2925
7	71	2618
8	74	2398
9	76	2206
10	78	2065
11	80	1932
12	82	1820
13	84	1720
14	85	1632
15	87	1556
16	89	1490
17	91	1432
18	93	1381
19	95	1331
20	96	1287
21	98	1247
22	100	1211
23	102	1177
24	104	1147
25	106	1119
26	108	1092
27	110	1069
28	111	1045
29	113	1022
30	115	1002
31	117	983
32	120	971
33	121	953
34	123	935
35	125	919
36	127	903
37	128	888
38	130	874
39	132	862
40	134	849
41	136	836
42	138	824
43	140	815
44	141	804
45	143	794
46	145	783
47	148	777
48	149	767
49	151	758
50	153	750
51	155	741
52	157	733
53	159	727
54	161	719
55	163	711
56	165	703
57	166	696
58	168	689
59	170	683
60	172	676
61	174	670
62	176	665
63	178	658
64	180	652
65	182	645
66	183	639
67	185	633
68	188	630
69	190	624
70	191	619
71	193	613
72	195	608
73	197	602
74	199	598
75	201	593
76	202	587
77	204	582
78	206	577
79	208	572
80	210	570
81	212	565
82	214	560
83	216	556
84	218	551
85	219	547
86	221	542
87	223	538
88	225	534
89	227	530
90	229	526
91	230	522
92	232	518
93	234	514
94	236	510
95	238	506
96	240	502
97	241	498
98	243	494
99	245	491
100	247	487
101	249	484
102	251	480
103	252	476
104	254	472
105	256	469
106	258	465
107	259	462
108	261	458
109	263	455
110	265	452
111	267	448
112	269	445
113	271	442
114	273	439
115	274	436
116	276	432
117	278	429
118	280	426
119	281	422
120	284	420
121	286	418
122	288	415
123	290	412
124	292	408
125	293	405
126	295	403
127	297	400
128	299	397
129	301	394
130	303	391
131	305	388
132	307	385
133	308	382
134	311	380
135	313	377
136	314	374
137	316	371
138	318	368
139	320	366
140	322	363
141	324	360
142	326	357
143	327	355
144	329	352
145	331	349
146	333	346
147	334	343
148	336	341
149	338	338
150	340	336
151	342	333
152	344	330
153	346	328
154	347	325
155	349	322
156	351	320
157	353	317
158	355	314
159	357	312
160	358	309
161	361	307
162	363	305
163	365	302
164	366	300
165	368	297
166	370	294
167	372	292
168	374	290
169	376	287
170	378	285
171	380	283
172	381	280
173	384	278
174	385	275
175	387	273
176	390	271
177	391	268
178	393	266
179	395	263
180	398	261
181	400	259
182	402	257
183	404	254
184	406	252
185	408	250
186	410	248
187	412	245
188	414	243
189	416	240
190	417	238
191	419	236
192	421	233
193	423	231
194	424	228
195	426	226
196	428	224
197	430	221
198	432	219
199	433	216
200	436	215
201	438	212
202	440	210
203	442	208
204	444	205
205	446	203
206	447	201
207	449	198
208	451	196
209	453	194
210	455	191
211	456	189
212	458	187
213	460	185
214	462	182
215	464	180
216	466	178
217	468	176
218	470	173
219	472	171
220	474	169
221	476	167
222	478	165
223	479	162
224	481	160
225	483	158
226	485	156
227	488	154
228	490	151
229	492	149
230	494	147
231	497	145
232	499	143
233	502	141
234	504	139
235	506	137
236	509	135
237	511	133
238	513	131
239	515	128
240	517	126
241	519	124
242	521	122
243	522	120
244	524	117
245	526	115
246	528	113
247	530	111
248	531	108
249	534	106
250	536	104
251	538	102
252	540	100
253	541	98
254	543	95
255	545	93
256	547	91
257	549	89
258	551	87
259	553	85
260	555	82
261	557	80
262	558	78
263	560	76
264	562	74
265	564	72
266	566	69
267	568	67
268	570	65
269	571	63
270	573	61
271	575	59
272	578	57
273	580	55
274	581	52
275	583	50
276	585	48
277	587	46
278	589	44
279	590	42
280	592	40
281	594	37
282	596	35
283	598	33
284	600	31
285	601	29
286	603	27
287	605	25
288	607	23
289	609	21
290	611	18
291	613	16
292	615	14
293	617	12
294	619	10
295	620	8
296	622	6
297	624	4
298	626	2
299	628	0
